,tableId,rowIndex,issue_pri,issue_sec
205,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,206,Vegetation establishment_1,‐‐‐
206,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,207,Weed concern_2,‐‐‐
207,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,208,Vegetation establishment_2,‐‐‐
208,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,209,Vegetation establishment_3,‐‐‐
209,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,210,Weed concern_1,‐‐‐
210,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,211,Vegetation establishment_1,‐‐‐
211,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,212,Vegetation establishment_1,‐‐‐
212,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,213,Vegetation establishment_1,‐‐‐
213,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,214,Subsidence_2,‐‐‐
214,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,215,Vegetation establishment_1,‐‐‐
215,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,216,Incomplete PCEM assessment,‐‐‐
216,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,217,Contouring_1,‐‐‐
217,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,218,Weed concern_1,‐‐‐
218,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,219,‐‐‐,Subsidence_2
219,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,220,Subsidence_1,‐‐‐
220,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,221,Vegetation establishment_1,‐‐‐
221,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,222,Admixing_1,‐‐‐
222,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,223,Compaction,‐‐‐
223,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,224,‐‐‐,Subsidence_1
224,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,225,Incomplete PCEM assessment,‐‐‐
225,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,226,Admixing_1,‐‐‐
226,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,227,"Erosion (wind, water)_1",‐‐‐
227,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,228,Subsidence_1,‐‐‐
228,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,229,Compaction,‐‐‐
229,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,230,Weed concern_1,Weed concern_1
230,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,231,Weed concern_1,Weed concern_1
231,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,232,‐‐‐,Subsidence_1
232,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,233,Weed concern_1,Weed concern_1
233,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,234,Admixing_1,‐‐‐
234,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,235,Compaction,‐‐‐
235,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,236,Subsidence_1,‐‐‐
236,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,237,Vegetation establishment_1,‐‐‐
237,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,238,Admixing_2,‐‐‐
238,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,239,Subsidence_1,‐‐‐
239,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,240,Vegetation establishment_1,‐‐‐
240,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,241,Incomplete PCEM assessment,‐‐‐
241,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,242,Compaction_2,‐‐‐
242,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,243,Vegetation establishment_1,‐‐‐
243,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,244,Contouring_1,‐‐‐
244,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,245,"Erosion (wind, water)_1",‐‐‐
245,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,246,"Erosion (wind, water)_1",‐‐‐
246,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,247,Subsidence_1,‐‐‐
247,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,248,"Erosion (wind, water)_1",‐‐‐
248,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,249,Subsidence_1,‐‐‐
249,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,250,Compaction,‐‐‐
250,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,251,Contouring_1,‐‐‐
251,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,252,"Erosion (wind, water)_1",‐‐‐
252,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,253,"Erosion (wind, water)_1",‐‐‐
253,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,254,Site visit,‐‐‐
254,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,255,"Erosion (wind, water)_1",‐‐‐
255,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,256,ESC,ESC
256,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,257,Contouring_1,‐‐‐
257,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,258,Weed concern_1,‐‐‐
258,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,259,‐‐‐,Subsidence_1
259,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,260,Subsidence_2,‐‐‐
260,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,261,Subsidence_3,‐‐‐
261,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,262,Compaction_1,‐‐‐
262,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,263,"Erosion (wind, water)_1",‐‐‐
263,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,264,Subsidence_1,‐‐‐
264,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,265,Subsidence_2,‐‐‐
265,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,266,Subsidence_3,‐‐‐
266,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,267,Subsidence_1,Subsidence_1
267,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,268,‐‐‐,Construction debris
268,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,269,Crowning_1,‐‐‐
269,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,270,‐‐‐,"Erosion (wind, water)_1"
270,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,271,Subsidence_1,‐‐‐
271,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,272,Crowning_1,‐‐‐
272,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,273,Subsidence_1,‐‐‐
273,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,274,Subsidence_1,‐‐‐
274,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,275,Vegetation establishment_1,‐‐‐
275,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,276,"Erosion (wind, water)_1",‐‐‐
276,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,277,‐‐‐,Subsidence_1
277,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,278,Scalping,‐‐‐
278,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,279,Vegetation establishment_1,‐‐‐
279,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,280,"Erosion (wind, water)_2",‐‐‐
