Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
68,NW 13-9-28,964.7 to 965.5,4027 4027.01,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,--,Minor to moderate compaction causing reduced crop density observed on construction right-of-way.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2013.",,,
68,NE 13-9-28,965.5 to 966.3,4027.01,Soils - Compaction,--,Compaction testing by Mentiga Pedolgy Consultants Ltd.,Landowner expressed concerns of compaction on right-of-way; compaction still evident.,Moderate to severe compaction causing reduced crop density observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2013.",,,
69,SE 15-9-27,972.3,4033.1,Vegetation – Establishment  Unnamed drainage,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation appears well established.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded west side of drainage summer 2011. Reseeded west side of drainage August 2012.,Unresolved,Monitor in 2013.,,,
69,NE 11-9-27,974.0 to 974.5,4034.99,Vegetation - Rare Plants green needle grass (S3),Population observed off construction right-of-way.,No plants observed at either transplant receiving site or on pipeline construction right-of-way from topsoil salvage. Area densely overgrown with Canada thistle and other weeds.,--,"No plants observed in August 2012 at either transplant receiving site. Topsoil replacement mitigation yielded no plants at original sites and appears unsucessful.  Populations off the right-of-way on the north and south sides are intact. Both transplant sites are heavily infested with awnless brome and the Noxious weed, Canada thistle. Awnless brome was not seeded along the right-of-way at this location. No further monitoring is recommended.",--,Resolved,None.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Weeds,"Moderate density of foxtail barley, green foxtail, Canada fleabane and barnyard grass observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,,
70,NE 5-9-25,989.5,4052.01,Vegetation - Rare Plants golden bean (S2),No plants were observed at or near the original population. Much of the area was under 0.5 m of water.,No plants observed. Site flooded from pipeline to ditches.,--,"No plants observed. This location is an established wetland that has been present since before pipeline construction based on height of willows. A comparison of the original notes for the golden bean population to the current observations at this location has lead to the conclusion that the original location of the golden bean population was recorded incorrectly. Due to the high probability that the mitigation recommended for the golden bean population was applied in the incorrect location, this location will no longer be monitored.",--,Resolved,None.,,,
70,NW 4-9-25,989.8 to 990.6,4053,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to assess due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,,
70,NE 4-9-25,990.6 to 991.4,4054,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unable to assess due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,,
70,NE 2-9-25,993.8 to 994.5,4057,Vegetation - Weeds,"Moderate density of common knotweed, flixweed, false ragweed, spear-leaved goosefoot, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.","Moderate density of pineappleweed, sweet clover, Canada thistle, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.","No weed issues observed. Canada thistle, nodding thistle and clover dead from spraying.","Moderate densities of white sweet clover, nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,,
