Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
2,NE 28-50-22,24.9,EL4-0065.00 EL4-0065.01,Vegetation - Weeds and clubroot disease,Could not access due to fencing around Elk Farm.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Weeds,"High density of creeping thistle, stinkweed, white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.",High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
3,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Establishment,--,Poor alfalfa establishment on hay land on construction right-of-way reported by landowner.,Reseeded in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
3,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
3,NW 22-50-22,26.9 to 27.6,EL4-0068.00,Vegetation - Weeds and clubroot disease,"High density of stinkweed, lamb's-quarters, hemp-nettle and white cockle on construction right-of-way.",Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
3,NW 22-50-22,26.9,EL4-0068.00,Vegetation - Establishment,Poor grass growth on construction right-of-way at road crossing observed during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010 and summer 2011.,Resolved,None.,,,EDMONTON LOOP
3,NE 22-50-22,27.5,EL4-0069.00,Vegetation - Weeds and clubroot disease,High density of white cockle and lamb's-quarters on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SE 22-50-22,27.8 to 28.8,EL4-0070.00,Vegetation - Weeds,Moderate density of white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.,Moderate density of creeping thistle and low density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
3,NE 15-50-22,28.8 to 29.3,EL4-0071.00 EL4-0071.01 EL4-0071.02,Soils - Uneven Topsoil,Uneven topsoil on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance,--,Resolved,None.,,,EDMONTON LOOP
3,NE 15-50-22,28.9 to 29.1,EL4-0071.01,Vegetation - Weeds,--,Moderate to low density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,Weeds picked in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
3,NW 14-50-22,29.3 to 29.6,EL4-0073.00,Soils - Uneven Topsoil,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance,Uneven topsoil repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
3,NW 14-50-22,29.3 to 29.6,EL4-0073.00,Vegetation - Weeds,--,High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
3,SW 14-50-22,30.0 to 30.6,EL4-0074.00,Vegetation - Establishment,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,EDMONTON LOOP
3,SW 14-50-22,29.7 to 30.6,EL4-0074.00,Vegetation - Weeds,--,High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
3,NW 11-50-22,30.6 to 31.4,EL4-0075.00,Vegetation - Mulch Piles,Poor vegetation establishment on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,EDMONTON LOOP
3,NW 11-50-22,30.6 to 31.4,EL4-0075.00,Vegetation - Weeds and clubroot disease,"Moderate to high density of white cockle, lamb's-quarters and hemp-nettle on construction right-of-way.",High density of creeping thistle and white cockle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
3,NW 11-50-22,30.6 to 31.4,EL4-0075.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
3,NW 36-49-22,34.23,EL4-0082.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,NW 36-49-22,34.23,EL4-0082.00,Soils - Contouring,Poor drainage observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,NW 36-49-22,34.47,EL4-0082.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
