Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
71,SW 32-8-23,1008.4 to 1009.2,4073,Vegetation - Weeds,"Moderate density of Russian thistle, false ragweed, spear-leaved goosefoot and green foxtail on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,SE 32-8-23,1009.2 to 1010.0,4074,Vegetation - Weeds,"Moderate density of Russian thistle, false ragweed, spear-leaved goosefoot and redroot pigweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,SW 33-8-23,1010.0 to 1010.8,4075,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,,
71,SW 33-8-23,1010.0 to 1010.8,4075,Vegetation - Weeds,"Moderate density of Russian thistle, wild buckwheat, spear-leaved goosefoot, and green foxtail observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,SE 33-8-23,1010.8 to 1011.5,4075.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,,
71,NE 28-8-23,1011.5,Crown,Vegetation - Rare Plants,No plants found on construction right-of-way. Plants found off construction right-of-way.,No plants observed (sand bluestem).,--,Unresolved,Monitor in 2012.,,,
71,NE 28-8-23,1011.5,Crown,Vegetation - Rare Plants,No plants found on construction right-of-way. Plants found off construction right-of-way (Schweintz’s flat sedge).,"Population south of south boundary: 94+ clumps observed in disturbed sandy area within a 46 m by 46 m area, extending north of fence onto construction right-of-way. Population south of trail/north of pipeline goes to hay.  Population north of trail, along fence line, still present with 80 -100 plants growing right along fence for about 60 m length (Schweintz’s flat sedge).",--,Resolved.,None.,,,
72,NW 27-8-23,1011.6 to 1012.4,4076,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
72,NE 27-8-23,1012.4 to 1013.4,4076.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
72,NE 27-8-23,1013.2,4076.01,Vegetation - Rare Plant,53 plants located on construction right-of-way 30 m west of 2007 location. 27 clumps (>100 plants) observed south of construction right-of-way in low area surrounded by willow and poplar.,No issues observed during the 2010 ground reconnaissance. Site was incorrectly identified as unresolved in the 2010 PCEM report. Site was not revisited in 2011.,--,Resolved,None.,,,
72,NE 27-8-23,1013.3,4076.01,Vegetation - Rare Plant,No plants found on construction right-of-way. Viable population located 100 m south of road.,>100 plants located on south boundary of construction right-of-way.,--,Resolved,None.,,,
72,NE 21-8-22,1020.9 to 1021.7,4088,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
72,NE 21-8-22,1020.9 to 1021.7,4088,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
72,NE 22-8-22,1022.5 to 1023.4,4090,Vegetation - Weeds,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on construction right-of-way observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
72,NE 22-8-22,1022.5 to 1023.4,4090,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2012.,,,
72,NW 23-8-22 to SW 23-8-22,1023.4 to 1024.2,4091  4092,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2012.,,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Vegetation - Weeds,"Moderate density of lamb’s-quarters, prostrate pigweed, spear-leaved goosefoot and foxtail barley observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
