Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
75,SW 29-7-17,1068.7 to 1069.6,4145.01 4146,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,SW 29-7-17,1069.2,4145.01,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
75,NW 20-7-17,1069.5,4147,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
76,NW 21-7-17,1070.4 to 1071.3,4149,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
76,NW 22-7-17,1072.2 to 1072.5,4150,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
76,NW 22-7-17,1072.6 to 1073.0,4150,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,WPM,
76,NW 22-7-17,1072.8,4150,Vegetation - Weeds,"Moderate density of redroot pigweed, common burdock, lamb’s-quarters, common tansy, leafy spurge, green foxtail and false ragweed on construction right-of-way.",High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
76,N1/2 22 to SE 22-7-17,1072.5 to 1074.0,4150 4151 4152 4153 4154,STopography Soils - Wind and Water Erosion Water Quality and Quantity Fish and Fish Habitat ouris River,Minor slumping on west bank.,Poor vegetation establishment on west bank and approach slope observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,"Reseed west bank and approach, and monitor in 2012.",,WPM,
76,SE 22-7-17,1073.2 to 1073.9,4152,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
76,SE 22-7-17,1073.6 to 1073.9,4153 4154,Vegetation - Weeds,--,Moderate density of common burdock and creeping thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011.,Unresolved,Monitor in 2012.,,WPM,
