,pdfId,pdfName,pdfURL,pdfSubmitter,ApplicationTitle,ApplicationTitleShort,ApplicationLink
136,2525922,"PCMR Year 4 Pipeline from a-65-A, 93-I-9 to 13-9-64-13, W6M (C111122) reduced - A4D0H5",https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2525922,"Scott Schilds, Roy Northern Environmental",2009-11-18 – Application for the Ojay Pipeline Project,Application for the Ojay Pipeline Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/582653
137,2543819,ETEP Water Quality Monitoring Report_FINAL - A4E3J9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2543819,Trans Mountain Pipeline ULC,2007-08-13 - Application for Edmonton Terminal Expansion Project,Application for Edmonton Terminal Expansion Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/474966
138,2547823,Genesis Pipeline Post Construction Environment Monitoring Report - A4E8X7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2547823,Mr. Ryan Hornett,2012-02-27 - Application for the Genesis Pipeline Extension Project,Application for the Genesis Pipeline Extension Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/793875
139,2585636,NEB_Goodrich_Extension_Re-injection_Pipeline_Project_4th_Year_PCEM_Condition5_Dec302014 - A4G3R3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2585636,"Westcoast Energy Inc., carrying on Business as Spectra Energy Transmission (Westcoast)",2009-12-24 – Application for the Goodrich Re-injection Pipeline Extension,Application for the Goodrich Re-injection Pipeline Extension,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/588299
140,2585870,Alberta Clipper Project PCEM Report - Year 5 (2014) - A4G4G5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2585870,Enbridge Pipelines Inc.,2007-05-30 - Application for the Alberta Clipper Expansion Project (OH-4-2007),Application for the Alberta Clipper Expansion Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465178
141,2661448,NEB_South_Maxhamish_Loop_3rd_Year_PCEM_Condition5_Jan282015 - A4G8E2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2661448,"Westcoast Energy Inc., carrying on Business as Spectra Energy Transmission (Westcoast)",2010-02-01 - Application for South Maxhamish Loop Project,Application for South Maxhamish Loop Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/593411
142,2661547,Bear River Lateral Loop No. 2 PCMR Year 3 - A4G7Z5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2661547,NOVA Gas Transmission Ltd.,2011-02-28 - Application for the Bear River Lateral Loop No. 2,Application for the Bear River Lateral Loop No. 2,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/674054
143,2661659,Norma Transmission Pipeline Project - First Year PCMR - A4G7Z7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2661659,NOVA Gas Transmission Ltd.,2013-03-04 - Application for the Norma Transmission Pipeline,Application for the Norma Transmission Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/927564
144,2661872,Cutbank River Lateral Loop (Bald Mountain Section) PCEMR Year 3 - A4G7W0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2661872,NOVA Gas Transmission Ltd,2010-09-02 - Application for the Cutbank River Lateral Loop (Bald Mountain Section),Application for the Cutbank River Lateral Loop ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/633450
145,2661883,Attachment 1 - Environmental As-Built Report - A4G8F4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2661883,Enbridge Bakken Pipeline Company Inc.,2011-01-17 - Application for Bakken Pipeline Project Canada (OH-1-2011),Application for Bakken Pipeline Project Canada ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/661686
146,2662111,Attachment 2 - Post-Construction Environmental Monitoring Report - Year 1 - A4G8F5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2662111,Enbridge Bakken Pipeline Company Inc.,2011-01-17 - Application for Bakken Pipeline Project Canada (OH-1-2011),Application for Bakken Pipeline Project Canada ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/661686
147,2671179,Leismer to Kettle River Crossover-Condition 12 Post-Construction Monitoring Program Report - A4H0U2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2671179,NOVA Gas Transmission Ltd.,2011-07-15 - Application for the Leismer to Kettle River Crossover (GH-004-2011),Application for the Leismer to Kettle River Crossover ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/704296
148,2671197,NWML_Kyklo section - Year 1 PCM Report - A4H1K3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2671197,NOVA Gas Transmission Ltd.,2011-04-29 - Application for the Northwest Mainline Expansion (GH-2-2011),Application for the Northwest Mainline Expansion ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/685859
149,2671246,Post-Construction Environmental Monitoring - Native Prairie Monitoring Report Year 1 Part 5 - A4G9H7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2671246,Pembina Prairie Facilities Ltd. - Vantage Pipeline Canada ULC,2011-02-07 - Application for the Vantage Pipeline Project (OH-3-2011),Application for the Vantage Pipeline Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/669661
150,2671466,Post-Construction Environmental Monitoring - Native Prairie Monitoring Report Year 1 Part 3 - A4G9H5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2671466,Pembina Prairie Facilities Ltd. - Vantage Pipeline Canada ULC,2011-02-07 - Application for the Vantage Pipeline Project (OH-3-2011),Application for the Vantage Pipeline Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/669661
151,2671475,TCPL - 2012 Eastern Mainline Expansion Condition 13 - PCEM Report - A4G9R8,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2671475,TransCanada PipeLines Limited,2011-11-08 - Application for 2012 Eastern Mainline Expansion,Application for 2012 Eastern Mainline Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/753662
152,2671591,Hidden Lake North and Moody Creek Compressor Stations - Condition 8 - Post Construction Monitoring Report - A4G9Y5,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2671591,NOVA Gas Transmission Ltd.,2011-02-17 - Application for the Hidden Lake North and Moody Creek Compressor Stations,Application for the Hidden Lake North and Moody Creek Compressor Stations,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/672909
