,tableId,rowIndex,vec_pri,vec_sec,status_bin,status,status_txt,issue_pri,issue_sec,company,monitoring_year,consultantName,application_title_short,word2vec_vec,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,VECassigned
37,0c200808-9563-467f-b74f-2d4b73c53fc4,76,Landscape – subsidence,A shallow depression was observed at KP 26.532.,U,Unresolved,Monitor in 2019 to ensure it does not into a subsidence issue.,Landscape – subsidence,A shallow depression was observed at KP 26.532.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
38,0c200808-9563-467f-b74f-2d4b73c53fc4,83,Vegetation - weeds,"Higher densities of white cockle, and narrow-leaved hawk’s beard observed on ROW between KP 27.835 to KP 28.216.",U,Unresolved,Control weeds and monitor in 2019.,Vegetation - weeds,"Higher densities of white cockle, and narrow-leaved hawk’s beard observed on ROW between KP 27.835 to KP 28.216.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
39,0c200808-9563-467f-b74f-2d4b73c53fc4,84,Vegetation - weeds,Field could not be assessed due to wildlife fencing and locked gates.  High densities of white cockle were observed from the fence boundary.,U,Unresolved,Control weeds and monitor in 2019.,Vegetation - weeds,Field could not be assessed due to wildlife fencing and locked gates.  High densities of white cockle were observed from the fence boundary.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
40,0c200808-9563-467f-b74f-2d4b73c53fc4,86,Vegetation - weeds,High density and distribution of white cockle was observed on ROW.,U,Unresolved,Control weeds and monitor in 2019.,Vegetation - weeds,High density and distribution of white cockle was observed on ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
41,0c200808-9563-467f-b74f-2d4b73c53fc4,87,Vegetation - establishment,Vegetation has established well throughout most of the tract.  Reduced vegetation and bare soil was observed at wetland at KP 30.091 to KP 30.060.,U,Unresolved,Monitor in 2019.,Vegetation - establishment,Vegetation has established well throughout most of the tract.  Reduced vegetation and bare soil was observed at wetland at KP 30.091 to KP 30.060.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
42,0c200808-9563-467f-b74f-2d4b73c53fc4,88,Vegetation - weeds,"White cockle, Canada thistle and scentless chamomile were observed at higher densities and distributions on ROW between KP 29.197 to KP 30.187.",U,Unresolved,Control weeds and monitor in 2019.,Vegetation - weeds,"White cockle, Canada thistle and scentless chamomile were observed at higher densities and distributions on ROW between KP 29.197 to KP 30.187.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
43,0c200808-9563-467f-b74f-2d4b73c53fc4,89,Landscape – Subsidence/Contouring,Subsidence was observed over the Line 2 trench at KP 29.470 (approx. 10 cm deep x 1-2 m wide). Low area was observed near wetland at KP 29.980 to KP 30.090.  Confirm with landowner if this is the location.  Area is a tree bog.,U,Unresolved,"IConfirm exact location of low areas, repair if warranted, provide UTM coordinates for field crews to assess in 2019. Repair at subsided area KP 29.470, reseed and monitor in 2019. f repair work is required, schedule repairs when feasible.",Landscape – Subsidence/Contouring,Subsidence was observed over the Line 2 trench at KP 29.470 (approx. 10 cm deep x 1-2 m wide). Low area was observed near wetland at KP 29.980 to KP 30.090.  Confirm with landowner if this is the location.  Area is a tree bog.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,1,0,0,0,physical
44,0c200808-9563-467f-b74f-2d4b73c53fc4,90,Landscape – subsidence,Bare soil observed. Subsidence observed.,U,Unresolved,Monitor in 2019.,Landscape – subsidence,Bare soil observed. Subsidence observed.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
45,0c200808-9563-467f-b74f-2d4b73c53fc4,92,Landscape - erosion,Access was not granted at the time of assessment.,U,Unresolved,Assess in 2019.,Landscape - erosion,Access was not granted at the time of assessment.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
46,0c200808-9563-467f-b74f-2d4b73c53fc4,93,Vegetation - weeds,Access was not granted at the time of assessment.,U,Unresolved,Assess in 2019.,Vegetation - weeds,Access was not granted at the time of assessment.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
